time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-31 20:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.01,63.80,66.00,61.89,,72.16,72.17,72.51,71.72,,0,0
"2015-07-31 20:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.59,62.66,63.10,62.40,,71.92,72.02,72.33,71.77,,0,0
"2015-07-31 21:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.56,62.53,62.67,62.44,,71.77,71.78,71.97,71.67,,0,0
"2015-07-31 21:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.84,62.74,62.94,62.49,,72.19,72.10,72.39,71.73,,0,0
"2015-07-31 21:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.23,63.03,63.30,62.79,,72.11,72.14,72.34,72.04,,0,0
"2015-07-31 21:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.80,63.65,63.90,63.17,,72.05,72.11,72.34,71.98,,0,0
"2015-07-31 22:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.00,63.91,64.09,63.73,,72.08,72.06,72.16,71.92,,0,0
"2015-07-31 22:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.04,64.17,64.34,63.95,,72.06,72.13,72.28,71.99,,0,0
"2015-07-31 22:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06,63.94,64.12,63.76,,71.97,72.01,72.12,71.88,,0,0
"2015-07-31 22:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31,64.16,64.36,63.96,,71.80,71.91,72.02,71.74,,0,0
"2015-07-31 23:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.02,64.57,65.07,64.19,,71.87,71.78,71.93,71.64,,0,0
"2015-07-31 23:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.37,65.13,65.47,64.87,,71.95,71.89,72.04,71.74,,0,0
"2015-07-31 23:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.59,64.96,65.39,64.58,,71.79,71.93,72.04,71.75,,0,0
"2015-07-31 23:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.47,64.57,64.72,64.41,,71.67,71.70,71.89,71.59,,0,0
"2015-08-01 00:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.86,64.17,64.52,63.82,,71.48,71.57,71.69,71.44,,0,0
"2015-08-01 00:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.49,63.78,63.96,63.39,,71.42,71.39,71.54,71.25,,0,0
"2015-08-01 00:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.57,63.11,63.62,62.55,,71.39,71.38,71.50,71.21,,0,0
"2015-08-01 00:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.11,63.60,65.66,62.06,,71.94,71.64,72.04,71.33,,0,0
"2015-08-01 01:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17,62.80,64.19,61.44,,73.40,72.56,73.41,71.83,,0,0
"2015-08-01 01:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.25,66.43,68.33,64.12,,74.38,73.98,74.44,73.35,,0,0
"2015-08-01 01:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47,70.06,71.52,68.17,,74.88,74.63,74.92,74.33,,0,0
"2015-08-01 01:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.24,72.40,73.29,71.38,,75.24,75.06,75.29,74.82,,0,0
"2015-08-01 02:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.92,73.62,74.08,73.10,,75.52,75.37,75.56,75.19,,0,0
